dato;klokkeslett;stop_name;tid_dag;faktisk_tid;avstand;normal_tid;ko_min_km;forsinkelser;bil
2025-12-18;17:30;Tromsø Prostneset;Ettermiddag;;;;;;
2025-12-18;17:15;Tromsø Prostneset;Ettermiddag;;;;;;
2025-12-19;14:00;Tromsø Prostneset;Ettermiddag;;;;;0,9833333333333333;
2025-12-19;15:00;Tromsø Prostneset;Ettermiddag;;;;;1,35;
2025-12-19;14:15;Tromsø Prostneset;Ettermiddag;;;;;1,3333333333333333;
2025-12-19;14:45;Tromsø Prostneset;Ettermiddag;;;;;1,3416666666666668;
2025-12-19;15:30;Tromsø Prostneset;Ettermiddag;;;;;0,2833333333333333;
2025-12-19;16:30;Tromsø Prostneset;Ettermiddag;;;;;0,5833333333333334;
2025-12-19;16:45;Tromsø Prostneset;Ettermiddag;;;;;0,8500000000000001;
2025-12-19;16:00;Tromsø Prostneset;Ettermiddag;;;;;0,125;
2025-12-19;16:15;Tromsø Prostneset;Ettermiddag;;;;;0,275;
2025-12-19;14:30;Tromsø Prostneset;Ettermiddag;;;;;1,3333333333333333;
2025-12-19;15:45;Tromsø Prostneset;Ettermiddag;;;;;0,175;
2025-12-20;16:30;Tromsø Prostneset;Ettermiddag;;;;;0,35;
2025-12-20;16:15;Tromsø Prostneset;Ettermiddag;;;;;0,35;
2025-12-21;16:30;Tromsø Prostneset;Ettermiddag;;;;;1,2833333333333332;
2025-12-21;16:45;Tromsø Prostneset;Ettermiddag;;;;;1,2833333333333332;
2025-12-21;16:15;Tromsø Prostneset;Ettermiddag;;;;;1,2833333333333332;
2025-12-22;15:00;Tromsø Prostneset;Ettermiddag;;;;;0,14166666666666666;
2025-12-22;16:30;Tromsø Prostneset;Ettermiddag;;;;;0,4166666666666667;
2025-12-22;15:30;Tromsø Prostneset;Ettermiddag;;;;;0,4166666666666667;
2025-12-22;16:45;Tromsø Prostneset;Ettermiddag;;;;;0,4166666666666667;
2025-12-22;16:00;Tromsø Prostneset;Ettermiddag;;;;;0,5416666666666666;
2025-12-22;15:45;Tromsø Prostneset;Ettermiddag;;;;;0,4166666666666667;
2025-12-22;14:15;Tromsø Prostneset;Ettermiddag;;;;;1,1;
2025-12-22;17:00;Tromsø Prostneset;Ettermiddag;;;;;;
2025-12-22;14:00;Tromsø Prostneset;Ettermiddag;;;;;1,7;
2025-12-22;15:15;Tromsø Prostneset;Ettermiddag;;;;;0,18333333333333332;
2025-12-22;14:30;Tromsø Prostneset;Ettermiddag;;;;;0,4166666666666667;
2025-12-22;14:45;Tromsø Prostneset;Ettermiddag;;;;;0,4166666666666667;
2025-12-22;16:15;Tromsø Prostneset;Ettermiddag;;;;;0,5333333333333333;
2025-12-23;15:30;Tromsø Prostneset;Ettermiddag;;;;;1,4416666666666669;
2025-12-23;16:15;Tromsø Prostneset;Ettermiddag;;;;;0,7583333333333334;
2025-12-23;14:00;Tromsø Prostneset;Ettermiddag;;;;;0,36666666666666664;
