delomrade_fra;delomrade_til;kvartal;time_of_day;weekday_indicator;reiser;co2_tonn
Ersfjord - Røssholmdjupta;Kroken;2020-2;05:30-08:30;Weekday;1,0494789629897683;3,135898878723687
Ersfjord - Røssholmdjupta;Kroken;2023-1;05:30-08:30;Weekday;1,0109234260138777;2,6780721131309515
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-1;05:30-08:30;Weekday;10,186810649616051;8,782766517363292
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-1;08:30-13:30;Weekday;5,278248655262458;3,2312745633330304
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-1;13:30-16:30;Weekday;3,127491253660113;1,8565866487624816
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-1;16:30-20:00;Weekday;4,784661571739851;3,8035389717773596
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-1;20:00-05:30;Weekday;1,978386980374519;1,1944991831840668
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-1;08:30-13:30;Weekend;1,7685286850825028;1,217147372090862
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-1;13:30-16:30;Weekend;2,5448919627562216;1,439739885235801
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-1;16:30-20:00;Weekend;2,5029982108472075;1,6195827796533362
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-2;05:30-08:30;Weekday;12,293096472188935;14,31824658291537
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-2;08:30-13:30;Weekday;7,57020992065069;7,417806207242854
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-2;13:30-16:30;Weekday;2,972351034749469;2,860781013398648
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-2;16:30-20:00;Weekday;6,466887798298487;6,302221777300276
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-2;20:00-05:30;Weekday;3,834421610339012;3,5609630051007466
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-2;08:30-13:30;Weekend;2,286407737867403;1,7930916389712717
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-2;13:30-16:30;Weekend;3,8155649741083693;3,518574312081411
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-2;16:30-20:00;Weekend;2,834005503983919;2,738764971249078
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-2;20:00-05:30;Weekend;1,688026996021959;1,5372397010415302
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-3;05:30-08:30;Weekday;8,59508130452175;8,759619092057576
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-3;08:30-13:30;Weekday;7,783319722976718;6,943111725595142
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-3;13:30-16:30;Weekday;6,445828584846436;5,545754997640865
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-3;16:30-20:00;Weekday;7,632654619526263;6,117202233071846
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-3;20:00-05:30;Weekday;5,267904013918016;4,355635607772099
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-3;08:30-13:30;Weekend;4,2135481946066635;3,3419160293639845
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-3;13:30-16:30;Weekend;4,031894312968196;3,3677001139692853
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-3;16:30-20:00;Weekend;3,8822682340520718;3,376412694150147
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-3;20:00-05:30;Weekend;1,8144843561577382;1,4068786097661015
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-4;05:30-08:30;Weekday;19,061640875171882;20,040548646272697
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-4;08:30-13:30;Weekday;6,412394631661455;5,57850791178413
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-4;13:30-16:30;Weekday;4,582769052403352;3,71578967703898
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-4;16:30-20:00;Weekday;4,65567469218276;4,164962054392035
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-4;20:00-05:30;Weekday;3,2410557371026267;2,8818732245233294
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-4;08:30-13:30;Weekend;2,95065186236964;2,3803460601794386
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-4;13:30-16:30;Weekend;3,1980330244719704;2,6577805456019545
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-4;16:30-20:00;Weekend;2,4119930662005395;2,1181530149734873
Ersfjord - Røssholmdjupta;Kvaløybyen;2019-4;20:00-05:30;Weekend;1,6383087515058334;1,4212884767529663
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-1;05:30-08:30;Weekday;17,74813049954195;18,149236932771874
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-1;08:30-13:30;Weekday;7,462505889907108;6,584510419023239
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-1;13:30-16:30;Weekday;6,687400264992337;5,712241076433318
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-1;16:30-20:00;Weekday;4,148770372190446;3,4335824047017023
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-1;20:00-05:30;Weekday;2,746984659009387;2,395669190521482
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-1;08:30-13:30;Weekend;3,0411275170409704;2,3982464939943786
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-1;13:30-16:30;Weekend;4,40904165924482;3,756501258169875
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-1;16:30-20:00;Weekend;2,8894888102874736;2,500080181671138
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-1;20:00-05:30;Weekend;1,547304463254485;1,3129343889054335
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-2;05:30-08:30;Weekday;13,557835925658896;14,508129696740694
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-2;08:30-13:30;Weekday;6,488091336916629;5,482677099254213
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-2;13:30-16:30;Weekday;6,867007823696328;5,36731533779993
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-2;16:30-20:00;Weekday;8,225901921032506;7,462984241540685
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-2;20:00-05:30;Weekday;3,3722904529876367;3,3826960675232924
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-2;08:30-13:30;Weekend;2,9543359684946915;2,5249764292971304
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-2;13:30-16:30;Weekend;5,13252697278101;4,180263360526582
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-2;16:30-20:00;Weekend;3,6133124796725586;3,1378245400830114
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-2;20:00-05:30;Weekend;1,5579759405431597;1,2459428689512622
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-3;05:30-08:30;Weekday;15,19662535892221;15,898685211867326
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-3;08:30-13:30;Weekday;6,623486240614272;4,975211957554855
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-3;13:30-16:30;Weekday;7,38664386866118;5,7649977494277325
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-3;16:30-20:00;Weekday;7,89143805969186;6,523124169513678
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-3;20:00-05:30;Weekday;5,334868900738798;4,510200019972269
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-3;08:30-13:30;Weekend;4,269135527529049;3,3384958685795025
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-3;13:30-16:30;Weekend;3,8656946231665685;3,3298104190595237
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-3;16:30-20:00;Weekend;2,3782722500165527;1,8303477888986532
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-3;20:00-05:30;Weekend;2,23850249252826;1,7767290312428126
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-4;05:30-08:30;Weekday;10,146031323967666;10,078949607653362
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-4;08:30-13:30;Weekday;4,170835633528192;3,5279711570813377
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-4;13:30-16:30;Weekday;6,157099016290865;5,202929116226352
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-4;16:30-20:00;Weekday;4,496676173689483;3,751870641070732
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-4;20:00-05:30;Weekday;3,8945101119731973;3,473978954714636
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-4;08:30-13:30;Weekend;1,2805404203996493;1,1331335759334484
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-4;13:30-16:30;Weekend;2,3692361512123195;1,750875181347628
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-4;16:30-20:00;Weekend;1,4013345427122088;1,1674470705989533
Ersfjord - Røssholmdjupta;Kvaløybyen;2020-4;20:00-05:30;Weekend;1,3283563284727158;1,1805795007226223
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-1;05:30-08:30;Weekday;14,425613729003558;15,506765334924104
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-1;08:30-13:30;Weekday;7,875849919567191;6,9577825895342205
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-1;13:30-16:30;Weekday;4,595859672850224;3,862562553846043
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-1;16:30-20:00;Weekday;4,489898653188427;3,9575419120733457
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-1;20:00-05:30;Weekday;3,590035467731615;3,2969774634355735
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-1;08:30-13:30;Weekend;3,035453431085271;2,4869278463257465
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-1;13:30-16:30;Weekend;3,1625800552527705;2,5379015660035673
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-1;16:30-20:00;Weekend;2,3209391859730117;2,0763574257629274
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-1;20:00-05:30;Weekend;1,1482238600600954;1,0728640675604977
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-2;05:30-08:30;Weekday;14,952441319556971;16,43762311810672
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-2;08:30-13:30;Weekday;7,958329567761631;7,0318181866676985
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-2;13:30-16:30;Weekday;4,45968066170304;3,7381125008292346
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-2;16:30-20:00;Weekday;8,092131357792635;6,895022604677275
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-2;20:00-05:30;Weekday;5,034122272078395;4,035488987702533
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-2;08:30-13:30;Weekend;2,311193155159797;2,0274033694789666
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-2;13:30-16:30;Weekend;2,919410362815571;2,6132703162601607
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-2;16:30-20:00;Weekend;3,4513195794217264;2,8034905739342304
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-2;20:00-05:30;Weekend;2,1243795514413404;1,8157009324843632
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-3;05:30-08:30;Weekday;10,924595675596343;11,215217769816874
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-3;08:30-13:30;Weekday;7,274248033776312;5,941103015262792
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-3;13:30-16:30;Weekday;7,011836416588851;5,989642979479561
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-3;16:30-20:00;Weekday;4,6262038396088805;3,9175360679642086
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-3;20:00-05:30;Weekday;5,94010437064002;4,986506537036152
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-3;08:30-13:30;Weekend;2,9675419732744257;2,3122200874407692
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-3;13:30-16:30;Weekend;3,482263635470742;2,9365751375789957
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-3;16:30-20:00;Weekend;2,0207763276439934;1,9191348207393648
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-3;20:00-05:30;Weekend;1,9742788977507202;1,7358390111837068
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-4;05:30-08:30;Weekday;25,778189310089402;26,169473065215396
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-4;08:30-13:30;Weekday;8,525711376683159;7,259540068410186
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-4;13:30-16:30;Weekday;8,050150602542717;6,509963834955286
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-4;16:30-20:00;Weekday;6,173032704076229;5,071228942299605
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-4;20:00-05:30;Weekday;2,8753551965245836;2,0526207250848825
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-4;08:30-13:30;Weekend;3,1712647845624358;2,76167948244823
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-4;13:30-16:30;Weekend;2,7373507506263626;2,2537900094742556
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-4;16:30-20:00;Weekend;2,6303431810296174;2,06522251553761
Ersfjord - Røssholmdjupta;Kvaløybyen;2021-4;20:00-05:30;Weekend;1,7338375233216463;1,380755305573596
Ersfjord - Røssholmdjupta;Kvaløybyen;2022-1;05:30-08:30;Weekday;23,219435422329774;24,059803469688156
Ersfjord - Røssholmdjupta;Kvaløybyen;2022-1;08:30-13:30;Weekday;5,74745267366929;5,070482341991039
Ersfjord - Røssholmdjupta;Kvaløybyen;2022-1;13:30-16:30;Weekday;2,7841644499302176;2,281673474957076
Ersfjord - Røssholmdjupta;Kvaløybyen;2022-1;16:30-20:00;Weekday;3,793118955699558;3,714643009372022
